id,metadata
34,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Castle"", ""lastfm_artist"": ""Eminem""}"
57,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Infinite"", ""lastfm_artist"": ""Eminem""}"
44,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Like Toy Soldiers"", ""lastfm_artist"": ""Eminem""}"
45,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Stan feat. Dido"", ""lastfm_artist"": ""Eminem""}"
58,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Cleanin Out My Closet"", ""lastfm_artist"": ""Eminem""}"
52,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""White America"", ""lastfm_artist"": ""Eminem""}"
54,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Phenomenal"", ""lastfm_artist"": ""Eminem""}"
55,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Superman"", ""lastfm_artist"": ""Eminem""}"
59,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Ass Like That"", ""lastfm_artist"": ""Eminem""}"
39,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Arose"", ""lastfm_artist"": ""Eminem""}"
65,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Vatan"", ""lastfm_artist"": ""Dariush""}"
1546,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""So Far"", ""lastfm_artist"": ""Olafur Arnalds""}"
75,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Ey Eshgh"", ""lastfm_artist"": ""Dariush""}"
76,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Chakavak"", ""lastfm_artist"": ""Dariush""}"
74,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Shekanjegar"", ""lastfm_artist"": ""Dariush""}"
73,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Jashne Deltangi"", ""lastfm_artist"": ""Dariush""}"
77,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Gelayeh"", ""lastfm_artist"": ""Dariush""}"
93,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Talayeh Daar"", ""lastfm_artist"": ""Dariush""}"
72,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sarabe Radde Paye To"", ""lastfm_artist"": ""Dariush""}"
71,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Booyeh Gandom"", ""lastfm_artist"": ""Dariush""}"
97,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Yavar Hamisheh Momen"", ""lastfm_artist"": ""Dariush""}"
140,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Amire Bi Gazand"", ""lastfm_artist"": ""Mohsen Chavoshi""}"
81,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Donyaye In Roozaye Man"", ""lastfm_artist"": ""Dariush""}"
91,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Mano Del"", ""lastfm_artist"": ""Dariush""}"
79,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Ayeneh"", ""lastfm_artist"": ""Dariush""}"
80,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Niyayesh"", ""lastfm_artist"": ""Dariush""}"
82,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Cheshme Man (Live)"", ""lastfm_artist"": ""Dariush""}"
84,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Faryad Zire Aab"", ""lastfm_artist"": ""Dariush""}"
83,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Gheysar"", ""lastfm_artist"": ""Dariush""}"
88,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Talaafi"", ""lastfm_artist"": ""Dariush""}"
86,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Hasood"", ""lastfm_artist"": ""Dariush""}"
85,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Tamame Man"", ""lastfm_artist"": ""Dariush""}"
327,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Goriz"", ""lastfm_artist"": ""Ebi""}"
87,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Ejazeh"", ""lastfm_artist"": ""Dariush""}"
89,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Gole Baroon Zadeh"", ""lastfm_artist"": ""Dariush""}"
90,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Booye Khoobe gandom"", ""lastfm_artist"": ""Dariush""}"
78,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Parastesh"", ""lastfm_artist"": ""Dariush""}"
96,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sargardan"", ""lastfm_artist"": ""Dariush""}"
92,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Shaghayegh"", ""lastfm_artist"": ""Dariush""}"
94,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Bouye Khoube Gandom"", ""lastfm_artist"": ""Dariush""}"
95,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Baradar Jaan"", ""lastfm_artist"": ""Dariush""}"
69,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Beman Nagoo Dooset Daram"", ""lastfm_artist"": ""Dariush""}"
469,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Radioactive"", ""lastfm_artist"": ""Imagine Dragons""}"
239,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Barf"", ""lastfm_artist"": ""Farhad Mehrad""}"
117,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Mordab"", ""lastfm_artist"": ""Googoosh""}"
6782,"{""lastfm_kind"": ""artist"", ""cover_source"": ""fanart"", ""lastfm_artist"": ""Matt Cooper""}"
1141,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""California Dreamin' (Single Version)"", ""lastfm_artist"": ""The Mamas & The Papas""}"
113,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Another love"", ""lastfm_artist"": ""Tom Odell""}"
104,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Yaavar"", ""lastfm_artist"": ""Dariush""}"
125,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Az Khoda Khasteh"", ""lastfm_artist"": ""Mahasti""}"
105,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Shirin Shirin"", ""lastfm_artist"": ""Dariush""}"
2080,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Eshghe Sorat"", ""lastfm_artist"": ""Kiosk""}"
328,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Pooste Shir"", ""lastfm_artist"": ""Ebi""}"
101,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sargardaan"", ""lastfm_artist"": ""Dariush""}"
119,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Lams"", ""lastfm_artist"": ""Bahram""}"
