id,artists_id,uploaded_by
848,573,"769929183709,245143586034,656985579957,406194970961"
888,"597,598,599",867935070956
917,613,"929819142165,888721759330"
2383,"323,1297",584661223260
2747,,632667648014
7635,2948,849733476327
6892,2739,756372794491
8073,196,438071472030
10697,"1672,1478",563388874988
386,"319,320,117",867935070956
984,473,684627654521
370,305,929819142165
371,306,321316551291
372,307,801392618851
375,"310,261",874158820580
376,311,579377061875
377,312,177371299101
383,316,"874158820580,587657647248"
387,321,867935070956
388,322,394117657821
389,"323,282,324",321316551291
392,326,874158820580
393,327,874158820580
394,"328,329,330",874158820580
395,"125,331",874158820580
826,557,"750156468469,472558623157"
948,"29,636,28","475272494144,929819142165"
1236,33,804121600141
1256,,"804121600141,883913356047"
2748,787,632667648014
2403,"1306,60",874158820580
2458,"374,1334,1335",130713082052
2464,1221,"321316551291,783298102704"
2493,1350,801346475500
399,"334,335",232920340516
411,344,734535702313
2520,447,750156468469
2522,885,929819142165
7636,184,951313012753
10698,3882,336636676011
398,41,867935070956
400,336,114447454905
401,337,139817792074
406,342,509760591885
408,343,"410618275779,979910711272,979910711272,636545644634"
416,196,"801346475500,591971526382"
417,343,410618275779
420,343,410618275779
425,"61,347",959078742794
426,348,"509760591885,509760591885"
830,562,410618275779
7637,184,563388874988
8074,2359,280468269439
2148,17,"753128310892,756372794491"
430,181,230986011321
2750,11,874158820580
2751,"283,1",874158820580
7638,184,823943248698
457,974,734535702313
450,181,579377061875
1010,655,606884302092
446,357,867935070956
8076,147,152461457404
435,224,"750156468469,817321833631,242725736100,450900851690"
438,352,509760591885
440,352,509760591885
441,353,"750156468469,974609541585,430020105059,142118830886"
442,"28,354",874158820580
451,234,"321316551291,951313012753"
453,358,"750156468469,315631053874"
454,358,509760591885
455,109,242725736100
884,166,383616851268
912,611,676591585116
11782,"263,117",280468269439
458,,175407856212
2150,641,"801346475500,853065672752,812649641749"
7746,443,"888721759330,706302919753"
8097,446,769573635661
1239,761,509760591885
8109,3103,666167540785
484,"372,373",509760591885
2451,54,394117657821
459,169,750156468469
460,213,242725736100
462,361,929819142165
463,362,"750156468469,740901501816,353868443200,545559172177"
465,363,"867935070956,867935070956"
467,169,"475272494144,666167540785"
474,31,"270247321047,823943248698"
473,169,475272494144
481,369,651724853829
482,370,651724853829
485,374,509760591885
486,288,509760591885
487,375,509760591885
850,575,296272052435
1238,353,"750156468469,996405937084,735612117095,448540462163,368390667456"
2162,631,"783298102704,958249908971,438071472030,123317730197,869228245033,169631732730"
7640,"2949,107,108",994985901817
2558,"482,1381",321316551291
488,"372,376,377,372,376,378",270247321047
507,"390,335,329,390,335,391",874158820580
2752,"935,1226","874158820580,368390667456"
8086,3096,216743486564
7639,"482,476,475",812649641749
8121,87,"858030157299,396287033930"
512,"395,26",270247321047
491,379,"750156468469,717899694521,355242680870"
494,146,509760591885
495,381,"874158820580,874158820580,812649641749"
501,385,253595547136
502,386,107532415064
503,387,383616851268
504,"388,389",874158820580
505,1,"874158820580,348461817543"
508,78,874158820580
513,396,270247321047
854,323,690937716610
1240,159,748039353331
529,407,206727921604
2432,1322,140289111734
541,413,867935070956
2753,213,242725736100
3210,471,783298102704
8104,"231,117",618355761471
523,196,"804121600141,407575456169,801765945254,312759452298,208149793229"
2939,1517,653559399185
2495,,277883390501
7641,365,"801765945254,892534879101,758444174081"
1241,54,383616851268
547,"298,415","410618275779,270247321047"
524,403,270247321047
526,"404,405",242725736100
528,406,206727921604
531,"207,107,108",927373721855
533,356,750156468469
534,408,657730610795
537,410,867935070956
540,412,475272494144
542,414,867935070956
545,75,"410618275779,210965998732"
552,416,206727921604
557,356,"750156468469,558673205516,760029738066,395780866633,703614684224,822922842616"
856,196,"579377061875,639551774688"
8120,500,245032061699
2043,"811,847,848",130713082052
564,,206727921604
8136,1386,438071472030
585,425,206727921604
556,169,"750156468469,210965998732,218093200747,653911562158"
