id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
11000,5899837003595257959,-6134013513918944690,1125,"618355761471,493980540339",-1004482228130,17948,3,0,3
4491,6017366777900568663,-5018858082385294462,,353868443200,-1004482228130,8353,3,0,3
4493,6017298058423834108,-158148534567906083,247,958249908971,-1004482228130,8355,6,0,6
4503,5334698270415391025,4225783322932924500,2029,756372794491,-1004482228130,8367,2,0,2
4510,6010447211924563314,-6805217121303700249,"571,68,295",929819142165,-1004482228130,8375,2,0,2
4499,5825608153265345602,-2907987013231055546,"1109,1110,1303,183",929819142165,-1004482228130,8361,6,0,6
4497,5979004349056034618,-8352671983263436313,247,666328158492,-1004482228130,8359,7,0,7
4504,5996685904779938101,-3706343252744480250,2030,438071472030,-1004482228130,8368,1,0,1
4508,5470016205827888289,1633805757487840520,571,756372794491,-1004482228130,8372,7,0,7
4500,5139052511398723744,-1480185501567465479,2027,318509972361,-1004482228130,8362,7,1,8
4509,5979004349056034636,2346027792416428398,"571,68,17,28",438071472030,-1004482228130,8373,4,0,4
9980,5461141167011819363,8035039144851397574,3687,687229846531,-1004482228130,16349,11,0,11
10030,5960936907700437967,4986732717997558584,2977,812649641749,-1004482228130,16436,3,0,3
10022,6043946213076637281,-8557886522621304341,68,634676158068,-1004482228130,16423,10,1,11
1101,5915622782229548967,-7720073023988579740,7,"874158820580,812649641749",-1004482228130,4370,9,0,9
10073,5872822943498641096,7983248366235468246,181,873750467314,-1004482228130,16502,4,0,4
10144,5258120343557511924,-6579827667945790193,998,692836399858,-1004482228130,16619,2,0,2
10175,5796547274964211007,5565689026375099108,3738,275983206365,-1004482228130,16658,4,0,4
10245,5402406247993454882,8028244315633768821,2671,"996405937084,996405937084",-1004482228130,16764,1,0,1
10310,5433663731483565049,6697015168220760061,"486,486,486",824142047736,-1004482228130,16873,6,0,6
4512,5181573967529384614,-7575632716040853173,"571,68",756372794491,-1004482228130,8377,5,0,5
11001,5046697086603494290,9081465720056582749,452,951313012753,-1004482228130,17949,12,0,12
4516,5819145846687533212,6804652891087240723,2032,448540462163,-1004482228130,8381,7,0,7
4538,5242531931555384309,-1480489930234196100,571,756372794491,-1004482228130,8404,2,0,2
4540,5386436984061301140,-3867949697820410298,354,756372794491,-1004482228130,8406,4,0,4
4541,5472258780051813104,4107786817580747578,68,"263021605118,210733336914",-1004482228130,8407,10,0,10
4537,5819199701282470964,7227123507469685971,"571,68,636",263021605118,-1004482228130,8403,1,1,2
4539,6012699011738247695,-1633826552596940933,"354,571,230",929819142165,-1004482228130,8405,1,1,2
7852,5862753878004467485,-6733458074214586562,3029,"996405937084,996405937084",-1004482228130,13107,0,16,16
10027,763504293122236451,3728184304171310527,575,175682234295,-1004482228130,16433,16,0,16
10058,5870769584058928645,2888282659460867488,147,868239522489,-1004482228130,16475,5,0,5
10075,5848386069938050602,5188024475169551314,3709,426362434662,-1004482228130,16507,1,0,1
