id,track_id,user_id,sentiment,on_user_id,message_id,reaction_id
1,1,944715188305,like,,4,56
2,3,852351726930,like,,6,2
3,5,221736714783,like,,8,56
4,15,616554609597,like,,18,56
5,21,616554609597,like,,24,57
6,21,142796071743,like,,24,57
7,22,142796071743,like,,25,17
8,31,616554609597,like,,34,56
9,43,616554609597,like,,46,56
10,49,616554609597,like,,52,56
11,54,616554609597,like,,57,56
12,54,142796071743,like,,57,31
13,56,438071472030,like,,59,17
14,57,616554609597,like,,60,56
15,69,616554609597,like,,72,56
16,81,474962259613,like,,84,57
17,81,684877701428,like,,84,57
18,81,836928405393,like,,84,57
19,84,172105222291,like,,87,56
20,86,616554609597,like,,89,56
21,89,142796071743,like,,92,16
22,92,616554609597,like,,95,56
23,101,944715188305,like,801392618851.0,106,56
24,104,753128310892,like,509760591885.0,110,2
25,108,253595547136,like,753128310892.0,115,2
26,109,906787991853,like,906787991853.0,116,34
27,109,128533184648,like,906787991853.0,116,2
28,111,801392618851,like,579377061875.0,123,2
29,113,509760591885,like,515788758231.0,129,17
30,114,821068817689,like,515788758231.0,130,17
31,114,509760591885,like,515788758231.0,130,17
32,115,509760591885,like,515788758231.0,131,2
33,117,216743486564,like,801392618851.0,139,2
34,117,509760591885,like,801392618851.0,139,2
35,117,821068817689,like,801392618851.0,139,2
36,118,475272494144,like,874158820580.0,152,56
37,118,901009833329,like,874158820580.0,152,56
38,120,394117657821,like,874158820580.0,157,2
39,120,509760591885,like,874158820580.0,157,2
40,121,230986011321,like,102374066294.0,158,2
41,121,874158820580,like,102374066294.0,158,2
42,121,268676520128,like,102374066294.0,158,2
43,121,906787991853,like,102374066294.0,158,2
44,121,460041714076,like,102374066294.0,158,58
45,121,258609519481,like,102374066294.0,158,59
46,54,216743486564,like,874158820580.0,161,56
47,127,929819142165,like,391031877698.0,172,2
48,128,263021605118,like,929819142165.0,174,2
49,129,391031877698,like,929819142165.0,175,2
50,129,263021605118,like,929819142165.0,175,2
51,130,509760591885,like,929819142165.0,176,57
52,131,409021197613,like,394117657821.0,178,2
53,131,391031877698,like,394117657821.0,178,3
54,131,380452084443,like,394117657821.0,178,2
55,131,929819142165,like,394117657821.0,178,2
56,133,263021605118,like,821068817689.0,181,2
57,133,801392618851,like,821068817689.0,181,2
58,133,128533184648,like,821068817689.0,181,2
59,133,515788758231,like,821068817689.0,181,2
60,133,509760591885,like,821068817689.0,181,2
61,133,475272494144,like,821068817689.0,181,2
62,134,821068817689,like,509760591885.0,182,2
63,134,128533184648,like,509760591885.0,182,2
64,135,906787991853,like,128533184648.0,183,2
65,135,263021605118,like,128533184648.0,183,2
66,135,821068817689,like,128533184648.0,183,2
67,135,509760591885,like,128533184648.0,183,2
68,136,929819142165,like,391031877698.0,184,2
69,136,263021605118,like,391031877698.0,184,2
70,136,821068817689,like,391031877698.0,184,2
71,136,886404893572,like,391031877698.0,184,32
72,137,929819142165,like,821068817689.0,185,56
73,137,216743486564,like,821068817689.0,185,56
74,137,263021605118,like,821068817689.0,185,57
75,137,801392618851,like,821068817689.0,185,56
76,137,886404893572,like,821068817689.0,185,56
77,137,985288390348,like,821068817689.0,185,57
78,137,391031877698,like,821068817689.0,185,56
79,137,475272494144,like,821068817689.0,185,56
80,137,509760591885,like,821068817689.0,185,57
81,138,315631053874,like,906787991853.0,186,2
82,138,144838920781,like,906787991853.0,186,2
83,138,128533184648,like,906787991853.0,186,2
84,138,906787991853,dislike,906787991853.0,186,71
85,139,509760591885,like,232920340516.0,187,17
86,139,874158820580,like,232920340516.0,187,16
87,17,475272494144,like,874158820580.0,189,17
88,141,929819142165,like,801392618851.0,191,2
89,141,874158820580,like,801392618851.0,191,2
90,141,128533184648,like,801392618851.0,191,2
91,142,874158820580,like,356452813834.0,192,10
92,142,703052179864,like,356452813834.0,192,10
93,142,356452813834,like,356452813834.0,192,10
94,144,253595547136,like,821068817689.0,196,56
95,144,509760591885,like,821068817689.0,196,56
96,144,801392618851,like,821068817689.0,196,56
97,146,928449532550,like,515788758231.0,198,56
98,146,673287051851,like,515788758231.0,198,17
99,146,886404893572,like,515788758231.0,198,3
100,146,509760591885,like,515788758231.0,198,56
101,146,128533184648,like,515788758231.0,198,2
102,147,216743486564,like,801392618851.0,199,57
103,147,509760591885,like,801392618851.0,199,57
104,147,409021197613,like,801392618851.0,199,57
105,147,801346475500,like,801392618851.0,199,57
106,147,821068817689,like,801392618851.0,199,57
107,147,128533184648,like,801392618851.0,199,57
108,147,410040702296,like,801392618851.0,199,57
109,147,475272494144,like,801392618851.0,199,57
110,147,144838920781,like,801392618851.0,199,57
111,147,869679830682,like,801392618851.0,199,57
112,148,673287051851,like,509760591885.0,200,56
113,148,801392618851,like,509760591885.0,200,56
114,150,821068817689,like,509760591885.0,203,2
115,150,216743486564,like,509760591885.0,203,2
116,150,128533184648,like,509760591885.0,203,2
117,151,821068817689,like,515788758231.0,204,56
118,151,128533184648,like,515788758231.0,204,56
119,151,509760591885,like,515788758231.0,204,56
120,151,253595547136,like,515788758231.0,204,56
121,152,874158820580,like,145533674118.0,205,2
122,152,140289111734,like,145533674118.0,205,2
123,152,929819142165,like,145533674118.0,205,20
124,153,526511095358,like,874158820580.0,206,56
125,153,145533674118,like,874158820580.0,206,56
126,153,140289111734,like,874158820580.0,206,56
127,154,852351726930,like,821068817689.0,207,17
128,154,253595547136,like,821068817689.0,207,2
129,123,509760591885,like,874158820580.0,208,56
130,156,509760591885,like,515788758231.0,211,57
131,157,509760591885,like,515788758231.0,212,2
132,158,886404893572,like,515788758231.0,213,60
133,158,509760591885,like,515788758231.0,213,2
134,159,216743486564,like,177371299101.0,216,2
135,159,821068817689,like,177371299101.0,216,2
136,159,801392618851,like,177371299101.0,216,2
137,160,128533184648,like,515788758231.0,218,57
138,160,509760591885,like,515788758231.0,218,57
139,161,673287051851,like,509760591885.0,219,2
140,161,216743486564,like,509760591885.0,219,2
141,161,128533184648,like,509760591885.0,219,2
142,161,515788758231,like,509760591885.0,219,2
143,162,801392618851,like,509760591885.0,220,2
144,67,667094331416,like,703052179864.0,221,56
145,67,515788758231,like,703052179864.0,221,2
146,165,142796071743,like,515788758231.0,224,17
147,165,929819142165,like,515788758231.0,224,17
148,166,509760591885,like,515788758231.0,225,17
149,167,175682234295,like,509760591885.0,226,2
150,167,673287051851,like,509760591885.0,226,2
151,167,515788758231,like,509760591885.0,226,2
152,168,509760591885,like,515788758231.0,227,16
153,169,128533184648,like,509760591885.0,228,2
154,171,263021605118,like,515788758231.0,231,2
155,171,703052179864,like,515788758231.0,231,56
156,171,509760591885,like,515788758231.0,231,2
157,172,703052179864,like,391031877698.0,232,2
158,173,703052179864,like,801392618851.0,233,2
159,174,867935070956,like,140289111734.0,235,17
160,174,852351726930,like,140289111734.0,235,16
161,135,263021605118,like,509760591885.0,236,56
162,135,801346475500,like,509760591885.0,236,56
163,135,515788758231,like,509760591885.0,236,56
164,176,947026405030,like,145533674118.0,239,2
165,176,874158820580,like,145533674118.0,239,2
166,176,929819142165,like,145533674118.0,239,2
167,177,140289111734,like,515788758231.0,240,56
168,177,263021605118,like,515788758231.0,240,56
169,177,703052179864,like,515788758231.0,240,56
170,177,874158820580,like,515788758231.0,240,56
171,177,509760591885,like,515788758231.0,240,56
172,179,263021605118,like,394117657821.0,242,17
173,179,867935070956,like,394117657821.0,242,17
